Arpophyllum giganteum
Beloglottis costaricensis
Bletia purpurea
Brassavola acaulis
Brassavola cucullata
Brassavola nodosa
Brassavola nodosa var. grandiflora
Brassia caudata
Brassia maculata
Bulbophyllum aristatum
Bulbophyllum oerstedii
Campylocentrum fasciola
Campylocentrum hondurense
Campylocentrum micranthum
Campylocentrum poepigii
Campylocentrum scheidei
Campylocentrum tyrridion
Catasetum integerrimum
Cattleya bowringiana
Cattleya skinneri
Caularthron bilamellatum
Chysis bractescens
Clowesia russelliana
Cochleanthes flabelliformis
Coelia bella
Comparetia falcata
Coryanthes speciosa
Corymborkis flava
Corymborkis forcipigera
Cranichis muscosa
Cranichis sylvatica
Cryptarrhena guatemalensis
Cryptharhena lunata
Cyclopogon comosus
Cyclopogon cranichoides
Cyclopogon elatus
Cyclopogon prasophyllum
Cycnoches egertonianum
Cycnoches glanduliferum
Cycnoches ventricosum
Cyrtopodium punctatum
Dichaea brachypoda
Dichaea glauca
Dichaea graminoides
Dichaea hystricina
Dichaea muricata var. neglecta
Dichaea muricatoides
Dichaea panamensis
Dichaea trulla
Dichaea tuerckheimii
Dimerandra emarginata
Dresslerella powellii
Dryadella linearifolia
Elleanthus caricoides
Elleanthus cynarocephalus
Elleanthus linifolius
Encyclia adenocarpon
Encyclia alata subsp alata
Encyclia alata subsp. virella
Encyclia amanda
Encyclia ambigua
Encyclia asperula
Encyclia baculus
Encyclia boothiana subsp. boothiana
Encyclia bractescens
Encyclia chacaoensis
Encyclia cochleata
Encyclia cordigera
Encyclia crassilabia
Encyclia davidhuntii
Encyclia dickensoniana
Encyclia distantiflora
Encyclia livida
Encyclia michuacana
Encyclia neurosa
Encyclia polybulbon
Encyclia porrecta
Encyclia pygmaea
Encyclia radiata
Epidanthus paranthicus
Epidendrum acunae
Epidendrum ciliare
Epidendrum clowesii
Epidendrum cristatum
Epidendrum cystosum
Epidendrum difforme
Epidendrum diffusum
Epidendrum hawkesii
Epidendrum imatophyllum
Epidendrum isomerum
Epidendrum macroclinium
Epidendrum martinezii
Epidendrum nitens
Epidendrum nocturnum
Epidendrum paniculatum
Epidendrum phragmites
Epidendrum polyanthum
Epidendrum ramosum
Epidendrum rigidum
Epidendrum scriptum
Epidendrum sculptum
Epidendrum secundum
Epidendrum stamfordianum
Epidendrum strobiliferum
Epistephium ellipticum
Eriopsis biloba
Eriopsis rutidobulbon
Erythrodes purpurea
Eulophia alta
Eurysteles borealis
Galeandra batemanii
Galeottia grandiflora
Gongora cassidea
Gongora truncata
Gongora unicolor
Goodyera erosa
Habenaria bacata
Habenaria brownelliana
Habenaria distans
Habenaria entomantha
Habenaria floribunda
Habenaria lankesteri
Habenaria mesodactyla
Habenaria monorrhiza
Habenaria novemfida
Habenaria quinqueseta
Habenaria repens
Habenaria rodeiensis
Habenaria trifida
Huntleya fasciata
Ionopsis satyrioides
Ionopsis utricularioides
Isochilus carnosiflorus
Jacquiniella equitantifolia
Jacquiniella globosa
Jacquiniella teretifolia
Kegeliella atropilosa
Koellensteinia tricolor
Lacaena bicolor
Laelia inconspicua
Leochilus labiatus
Lepanthes acuminata
Lepanthes arachnion
Lepanthes disticha
Lepanthes inaequalis
Lepanthes johnsonii
Lepanthes turialvae
Lepanthopsis floripecten
Leucohyle subulata
Liparis elata
Lockhartia hercodonta
Lockhartia pittieri
Lycaste aromatica
Lycaste cochleata
Lycaste leucantha
Lycaste tricolor
Lyroglossa pubicaulis
Macradenia brassavolae
Macroclinium paniculatum
Malaxis histionantha
Masdevallia adamsii
Masdevallia floribunda
Masdevallia tubuliflora
Maxillaria aciantha
Maxillaria alba
Maxillaria brunnea
Maxillaria cobanensis
Maxillaria conferta
Maxillaria confusa
Maxillaria crassifolia
Maxillaria cucullata
Maxillaria densa
Maxillaria discolor
Maxillaria elatior
Maxillaria friedrichsthalii
Maxillaria fulgens
Maxillaria hedwigae
Maxillaria moralesii
Maxillaria pulchra
